time,region,C,D,V,RR,GP,P,TS,W,R
3,24,0.000786031,6.30246E-05,0.001000015,-26.42857143,-18.42857143,-18.71428571,-14.71428571,-18,4.428571429
4,24,0.000737706,5.77721E-05,0.001256668,-25.42857143,-16,-22.42857143,-10.42857143,-16.85714286,4
5,24,0.00061375,4.55166E-05,0.002796605,-19.42857143,-11.28571429,-8.857142857,-3.857142857,-16.28571429,2.571428571
6,24,0.00047789,3.29111E-05,0.008767269,-16.28571429,-8.857142857,-15.42857143,-5.571428571,-15.28571429,2.857142857
7,24,0.000423957,2.9059E-05,0.002633033,-16.42857143,-10.14285714,-15.85714286,-8.285714286,-15.28571429,5
8,24,0.000382295,3.25606E-05,0.004905104,-15.71428571,-8.714285714,-17,-4.428571429,-12,2.714285714
9,24,0.00034973,3.11599E-05,0.003676427,-11,-4.285714286,-5.857142857,-3.714285714,-21,3
10,24,0.000325919,2.80084E-05,0.00455176,-12.57142857,-6.142857143,-7.285714286,-2.142857143,-11.42857143,1.571428571
11,24,0.000312261,2.7308E-05,0.007568894,-9.714285714,-4.714285714,1,0.857142857,-13.28571429,1.571428571
12,24,0.000303156,2.73078E-05,0.007054147,-10.85714286,-5.428571429,3,1.285714286,-13.57142857,1.285714286
13,24,0.000296493,2.59067E-05,0.003901093,-10.28571429,-4.142857143,15.71428571,2.285714286,-11,0.714285714
14,24,0.000293699,3.01086E-05,0.005184691,-8.142857143,-1.571428571,17,4.857142857,-10.57142857,0.142857143
15,24,0.000287745,2.9058E-05,0.006703904,-9.428571429,-2.571428571,7.428571429,2.714285714,-10.28571429,0.714285714
16,24,0.000281441,2.48563E-05,0.0070512,-7.857142857,-0.714285714,21.28571429,7.142857143,-9.571428571,-0.571428571
17,24,0.000272336,2.4506E-05,0.008287836,-10.28571429,-4.142857143,29.42857143,-0.714285714,-35.28571429,1.142857143
18,24,0.00025797,2.06539E-05,0.006394938,-9.428571429,-3.285714286,55.85714286,5.285714286,-26.57142857,-1.571428571
19,24,0.000242571,1.64527E-05,0.006784977,-8,-0.428571429,17.14285714,5.571428571,-10,-2.428571429
20,24,0.000235567,1.7503E-05,0.006031807,-5.571428571,1.714285714,27.42857143,7.428571429,-11.57142857,-3.714285714
21,24,0.000232065,1.5052E-05,0.006031773,-0.428571429,4.428571429,61.42857143,11.57142857,-15.28571429,-4.714285714
22,24,0.000242567,1.61023E-05,0.006032089,-3.428571429,2.428571429,43.85714286,8.285714286,-18.42857143,-4
23,24,0.000302779,1.50513E-05,0.006933595,-2.285714286,3,53.71428571,8.142857143,-29,-4.714285714
24,24,0.000387517,1.99535E-05,0.01101713,-8.142857143,-0.571428571,39.57142857,5,-25,-4.857142857
25,24,0.00056923,1.96032E-05,0.015135254,-9.714285714,-1.428571429,24.71428571,1.571428571,-27,-3.714285714
26,24,0.000840224,2.80061E-05,0.016424681,-13.42857143,-3,44.57142857,1.714285714,-32,-5.857142857
27,24,0.001072352,3.60588E-05,0.016045754,-13,-2.428571429,48.71428571,0.857142857,-32.71428571,-6.285714286
